id,num_orders
1028232,102.4
1127204,86.4
1212707,109.1
1082698,101.3
1400926,86.4
1284113,86.3
1197966,86.4
1132739,97.2
1057981,102.4
1095932,91.8
1454421,131.0
1149765,140.6
1166964,132.5
1010949,140.6
1409575,140.6
1181616,139.2
1456020,112.3
1264395,139.2
1472931,120.1
1412015,136.3
1461229,132.2
1014564,126.7
1485914,93.7
1345389,107.3
1006833,111.7
1174921,111.7
1175393,106.2
1152412,61.3
1497398,95.4
1363486,58.7
1366766,57.1
1192413,71.7
1319547,67.1
1337684,68.6
1479766,136.2
1460444,68.8
1139730,68.6
1115056,59.9
1335827,57.0
1385333,64.0
1096323,186.6
1230693,200.2
1027016,185.4
1181520,186.6
1306234,188.1
1271440,178.4
1269834,194.3
1176823,161.0
1193098,182.4
1034878,159.4
1010243,266.6
1451807,248.1
1016845,266.6
1198021,243.9
1413802,259.2
1231223,243.9
1274226,258.6
1425142,232.6
1211593,239.4
1419190,251.5
1180223,234.2
1194932,189.1
1323477,212.3
1371595,181.1
1171521,224.5
1052384,549.0
1060921,224.5
1261811,213.5
1246502,180.3
1497466,188.0
1232717,80.3
1136112,108.3
1196334,72.3
1349533,61.2
1463406,80.4
1447686,73.5
1336105,116.5
1012855,109.5
1180646,72.3
1062490,93.6
1098228,190.7
1101375,116.4
1400016,182.7
1439889,182.7
1408468,99.6
1044490,187.0
1290002,80.3
1190633,112.5
1040430,201.4
1049366,116.4
1224120,172.4
1293810,173.7
1197335,179.1
1323989,156.1
1129467,169.3
1229328,173.7
1164395,215.6
1217722,142.7
1171266,139.8
1024905,149.3
1343027,191.9
1141892,240.6
1302404,320.7
1170447,222.4
1140772,1501.8
1103484,1596.2
1387134,240.4
1117711,196.1
1472121,1025.1
1289523,622.7
1091114,407.0
1043572,401.3
1103283,401.3
1265051,401.3
1168741,401.3
1052776,367.7
1206564,401.3
1302153,423.6
1083754,401.3
1097952,367.7
1251605,290.8
1333032,290.8
1086936,295.7
1088412,322.7
1236400,555.1
1244516,553.9
1380381,282.6
1495062,293.7
1439647,294.2
1019214,278.5
1316160,44.9
1022008,16.0
1138248,20.0
1052922,15.0
1181474,15.0
1046475,19.2
1216688,17.7
1067565,16.3
1008328,13.6
1430287,15.0
1406716,203.9
1105380,203.9
1248694,306.1
1252163,347.8
1443474,202.4
1033716,214.7
1300295,186.2
1311882,214.7
1257968,214.5
1226362,202.4
1030655,284.5
1210527,455.2
1278927,279.0
1232239,296.5
1133067,290.0
1382522,298.6
1219136,2190.0
1498130,945.5
1251629,298.6
1032092,298.6
1249865,102.9
1207630,1432.9
1144733,165.0
1436768,127.0
1148964,166.3
1237346,127.0
1206015,1978.1
1105113,999.7
1430481,177.1
1001589,177.1
1224132,85.2
1074380,57.4
1097109,118.8
1211246,118.8
1390579,118.8
1473058,147.4
1186964,127.4
1222837,83.1
1342393,99.2
1170472,148.7
1170791,173.2
1046653,166.5
1195179,139.2
1332509,164.4
1438300,85.2
1435748,160.5
1052668,181.1
1227060,131.5
1342252,116.6
1143109,133.9
1394807,158.1
1448374,170.4
1028680,174.1
1079691,170.4
1402079,186.4
